counter;time;km/h;gas;brake;clutch;gear;RPM;Lap;FLW Temp;FRW Temp;RLW Temp;RRW Temp;FLW Pres;FRW Pres;RLW Pres;RRW Pres
1;14:18:50.438244;0,001;0,0;0,0;0,0;1;3602,49;0;26.01;26.009;26.013;26.016;26.002;26.001;27.002;27.002
2;14:18:50.963605;0,002;0,0;0,0;0,0;1;2330,612;0;26.011;26.01;26.014;26.017;26.002;26.002;27.002;27.003
3;14:18:51.483932;0,001;0,0;0,0;0,0;1;1706,521;0;26.012;26.011;26.015;26.018;26.002;26.002;27.002;27.003
4;14:18:52.058645;0,001;0,0;0,0;0,0;1;1348,699;0;26.013;26.012;26.017;26.02;26.002;26.002;27.003;27.003
5;14:18:52.580545;0,0;0,0;0,0;0,0;1;1140,695;0;26.014;26.013;26.018;26.021;26.002;26.002;27.003;27.003
6;14:18:53.101275;0,002;0,0;0,0;0,0;1;1036,145;0;26.015;26.014;26.02;26.023;26.002;26.002;27.003;27.004
7;14:18:53.667419;0,001;0,0;0,0;0,0;1;975,994;0;26.016;26.015;26.022;26.024;26.003;26.002;27.004;27.004
8;14:18:54.190429;0,002;0,0;0,0;0,0;0;940,765;0;26.017;26.016;26.024;26.026;26.003;26.003;27.004;27.004
9;14:18:54.698504;0,001;0,0;0,0;0,0;0;923,211;0;26.018;26.018;26.026;26.028;26.003;26.003;27.004;27.004
10;14:18:55.275328;0,001;0,0;0,0;0,0;0;912,913;0;26.019;26.019;26.028;26.03;26.003;26.003;27.005;27.005
11;14:18:55.805934;0,001;0,0;0,0;0,0;0;906,836;0;26.021;26.02;26.031;26.033;26.003;26.003;27.005;27.005
12;14:18:56.320699;0,001;0,0;0,0;0,0;0;903,88;0;26.022;26.022;26.033;26.035;26.004;26.003;27.005;27.006
13;14:18:56.887139;0,0;0,0;0,0;0,0;0;902,173;0;26.024;26.023;26.035;26.038;26.004;26.004;27.006;27.006
14;14:18:57.441424;0,001;0,0;0,0;0,0;1;901,124;0;26.025;26.025;26.037;26.04;26.004;26.004;27.006;27.006
15;14:18:57.971294;0,002;0,0;0,0;0,0;1;900,625;0;26.027;26.027;26.039;26.043;26.004;26.004;27.006;27.007
16;14:18:58.586309;0,002;0,0;0,0;0,0;2;900,334;0;26.029;26.029;26.041;26.045;26.005;26.005;27.007;27.007
17;14:18:59.124215;0,001;0,0;0,0;0,0;2;900,175;0;26.031;26.031;26.044;26.048;26.005;26.005;27.007;27.008
18;14:18:59.630141;0,001;0,0;0,0;0,0;2;900,1;0;26.033;26.033;26.046;26.05;26.005;26.005;27.007;27.008
19;14:19:00.209213;0,426;0,114;0,0;0,057;2;1032,657;0;26.035;26.035;26.048;26.053;26.006;26.006;27.008;27.008
20;14:19:00.735564;0,009;0,008;0,0;0,0;2;984,75;0;26.037;26.038;26.051;26.055;26.006;26.006;27.008;27.009
21;14:19:01.255334;0,875;0,369;0,0;0,148;2;1088,949;0;26.039;26.04;26.053;26.057;26.006;26.006;27.009;27.009
22;14:19:01.833898;4,233;0,588;0,0;0,255;2;1153,644;0;26.041;26.042;26.056;26.06;26.007;26.007;27.009;27.01
23;14:19:02.366145;10,759;1,0;0,0;0,493;2;1298,16;0;26.043;26.044;26.058;26.063;26.007;26.007;27.009;27.01
24;14:19:02.875811;20,176;0,612;0,0;1,0;2;2165,682;0;26.045;26.046;26.06;26.065;26.007;26.007;27.01;27.01
25;14:19:03.444174;23,18;0,416;0,0;1,0;2;2483,013;0;26.047;26.048;26.063;26.068;26.008;26.008;27.01;27.011
26;14:19:03.946439;27,203;0,678;0,0;1,0;2;2980,952;0;26.049;26.05;26.065;26.072;26.008;26.008;27.01;27.012
27;14:19:04.417661;35,903;1,0;0,0;1,0;2;4041,026;0;26.051;26.052;26.068;26.076;26.008;26.008;27.011;27.012
28;14:19:04.930587;48,408;0,894;0,0;1,0;2;5478,047;0;26.053;26.053;26.078;26.087;26.008;26.009;27.013;27.014
29;14:19:05.407063;51,608;0,0;0,0;1,0;2;5414,843;0;26.055;26.056;26.094;26.102;26.009;26.009;27.015;27.016
30;14:19:05.887724;51,79;0,455;0,0;1,0;3;3513,236;0;26.057;26.058;26.112;26.12;26.009;26.009;27.018;27.019
31;14:19:06.389061;52,238;0,227;0,0;1,0;3;3510,116;0;26.059;26.06;26.13;26.138;26.009;26.01;27.021;27.022
32;14:19:06.863149;51,64;0,153;0,0;1,0;3;3464,381;0;26.061;26.062;26.149;26.157;26.01;26.01;27.024;27.025
33;14:19:07.332109;51,044;0,18;0,0;1,0;3;3427,887;0;26.063;26.064;26.166;26.174;26.01;26.01;27.027;27.028
34;14:19:07.847513;50,61;0,196;0,0;1,0;3;3399,301;0;26.065;26.067;26.183;26.192;26.01;26.011;27.029;27.031
35;14:19:08.327596;50,3;0,224;0,0;1,0;3;3377,564;0;26.067;26.07;26.202;26.211;26.011;26.011;27.032;27.034
36;14:19:08.793325;50,084;0,224;0,0;1,0;3;3363,84;0;26.069;26.072;26.218;26.227;26.011;26.012;27.035;27.036
37;14:19:09.310341;49,928;0,247;0,0;1,0;1;3181,824;0;26.072;26.075;26.235;26.244;26.012;26.012;27.038;27.039
38;14:19:09.798654;52,692;0,741;0,0;1,0;4;2599,045;0;26.079;26.082;26.256;26.266;26.013;26.013;27.041;27.043
39;14:19:10.263155;56,378;0,722;0,0;1,0;4;2780,864;0;26.089;26.091;26.277;26.288;26.014;26.015;27.044;27.046
40;14:19:10.779828;59,862;0,675;0,0;1,0;4;2947,123;0;26.101;26.102;26.301;26.312;26.016;26.016;27.048;27.05
41;14:19:11.254694;63,419;0,659;0,0;1,0;4;3117,76;0;26.114;26.115;26.329;26.342;26.018;26.018;27.053;27.055
42;14:19:11.722516;66,481;0,659;0,0;1,0;4;3270,005;0;26.128;26.128;26.358;26.372;26.021;26.021;27.057;27.059
43;14:19:12.226762;69,656;0,671;0,0;1,0;4;3426,071;0;26.144;26.144;26.391;26.406;26.023;26.023;27.063;27.065
44;14:19:12.698622;73,256;0,694;0,0;1,0;4;3603,817;0;26.164;26.164;26.433;26.449;26.026;26.026;27.069;27.072
45;14:19:13.146176;76,552;0,694;0,0;1,0;4;3767,249;0;26.184;26.182;26.473;26.491;26.029;26.029;27.076;27.079
46;14:19:13.655875;80,12;0,745;0,0;1,0;4;3960,954;0;26.208;26.202;26.518;26.535;26.033;26.032;27.083;27.086
47;14:19:14.136139;81,069;0,686;0,0;1,0;4;4038,243;0;26.275;26.215;26.59;26.563;26.044;26.034;27.094;27.09
48;14:19:14.597050;82,728;0,722;0,0;1,0;4;4079,724;0;26.345;26.227;26.655;26.593;26.055;26.036;27.105;27.095
49;14:19:15.115519;86,747;0,718;0,0;1,0;4;4273,978;0;26.388;26.253;26.711;26.644;26.062;26.04;27.114;27.103
50;14:19:15.593964;90,544;0,737;0,0;1,0;4;4517,492;0;26.448;26.28;26.783;26.698;26.072;26.045;27.125;27.112
51;14:19:16.054265;91,185;0,792;0,0;1,0;4;4589,462;0;26.53;26.297;26.868;26.73;26.085;26.048;27.139;27.117
52;14:19:16.559484;91,919;0,835;0,0;1,0;4;4605,848;0;26.622;26.319;26.956;26.766;26.1;26.051;27.153;27.123
53;14:19:17.015574;93,576;0,941;0,0;1,0;4;4732,059;0;26.734;26.345;27.056;26.811;26.117;26.055;27.169;27.13
54;14:19:17.464794;95,395;0,945;0,0;1,0;4;4824,327;0;26.846;26.376;27.153;26.852;26.135;26.06;27.184;27.136
55;14:19:17.959125;97,276;0,941;0,0;1,0;4;4911,742;0;26.976;26.409;27.256;26.895;26.156;26.065;27.201;27.143
56;14:19:18.411647;99,307;0,941;0,0;1,0;4;5019,261;0;27.126;26.451;27.372;26.942;26.18;26.072;27.22;27.151
57;14:19:18.855450;101,099;0,953;0,0;1,0;4;5116,67;0;27.278;26.493;27.483;26.987;26.204;26.079;27.237;27.158
58;14:19:19.347000;103,698;1,0;0,0;1,0;4;5258,693;0;27.448;26.539;27.602;27.037;26.232;26.086;27.256;27.166
59;14:19:19.807443;103,068;0,0;0,0;1,0;4;4973,919;0;27.66;26.597;27.728;27.094;26.266;26.096;27.277;27.175
60;14:19:20.272725;100,547;0,0;0,0;1,0;4;4832,333;0;27.802;26.708;27.811;27.179;26.288;26.113;27.29;27.189
61;14:19:20.751221;98,11;0,0;0,0;1,0;4;4733,642;0;27.919;26.825;27.88;27.265;26.307;26.132;27.301;27.202
62;14:19:21.194315;93,336;0,0;0,0;1,0;4;4465,382;0;28.115;26.884;27.996;27.315;26.338;26.141;27.319;27.21
63;14:19:21.629154;87,547;0,416;0,0;1,0;4;4253,865;0;28.298;26.937;28.103;27.357;26.368;26.15;27.336;27.217
64;14:19:22.119095;87,704;0,553;0,0;1,0;4;4310,863;0;28.495;26.995;28.219;27.409;26.399;26.159;27.355;27.225
65;14:19:22.579502;92,366;1,0;0,0;1,0;4;4600,044;0;28.665;27.064;28.333;27.484;26.426;26.17;27.373;27.237
66;14:19:23.012789;98,206;1,0;0,0;1,0;4;4891,981;0;28.804;27.136;28.433;27.561;26.449;26.182;27.389;27.25
67;14:19:23.511637;103,369;1,0;0,0;1,0;4;5265,764;0;28.981;27.203;28.559;27.635;26.477;26.192;27.409;27.262
68;14:19:23.977205;108,604;0,969;0,0;1,0;4;5518,222;0;29.202;27.265;28.716;27.708;26.512;26.202;27.435;27.273
69;14:19:24.435720;114,193;0,949;0,0;1,0;4;5695,922;0;29.39;27.327;28.858;27.789;26.542;26.212;27.457;27.286
70;14:19:24.934162;120,272;0,933;0,0;1,0;4;5981,624;0;29.549;27.411;28.987;27.892;26.568;26.226;27.478;27.303
71;14:19:25.387074;126,924;0,941;0,0;1,0;4;6325,418;0;29.722;27.512;29.132;28.011;26.595;26.242;27.501;27.322
72;14:19:25.849465;133,224;1,0;0,0;1,0;4;6641,834;0;29.888;27.608;29.277;28.129;26.622;26.257;27.524;27.341
73;14:19:26.351580;136,897;1,0;0,0;1,0;4;7068,11;0;30.11;27.667;29.457;28.215;26.658;26.267;27.553;27.354
