counter;time;km/h;gas;brake;clutch;gear;RPM;Lap;FLW Temp;FRW Temp;RLW Temp;RRW Temp;FLW Pres;FRW Pres;RLW Pres;RRW Pres
1;15:58:51.807963;0,001;0,0;0,0;0,0;1;900,0;0;26.016;26.016;26.023;26.027;26.003;26.003;27.004;27.004
2;15:58:52.297668;0,004;0,337;0,0;1,0;1;967,151;0;26.017;26.018;26.025;26.029;26.003;26.003;27.004;27.005
3;15:58:52.773694;0,002;1,0;0,0;1,0;1;8113,566;0;26.018;26.019;26.027;26.03;26.003;26.003;27.004;27.005
4;15:58:53.330351;0,002;0,0;0,0;0,0;1;6533,607;0;26.02;26.02;26.029;26.033;26.003;26.003;27.005;27.005
5;15:58:53.815092;0,001;1,0;0,0;1,0;1;8532,634;0;26.021;26.022;26.032;26.035;26.003;26.003;27.005;27.006
6;15:58:54.295287;0,002;1,0;0,0;1,0;1;7394,353;0;26.022;26.023;26.034;26.037;26.004;26.004;27.005;27.006
7;15:58:54.842272;11,78;1,0;0,0;1,0;2;7683,778;0;26.023;26.025;26.06;26.063;26.004;26.004;27.01;27.01
8;15:58:55.332144;25,521;1,0;0,0;1,0;2;7898,248;0;26.025;26.026;26.126;26.13;26.004;26.004;27.02;27.021
9;15:58:55.778355;37,041;1,0;0,0;1,0;2;4203,849;0;26.026;26.028;26.189;26.192;26.004;26.004;27.03;27.031
10;15:58:56.263966;41,182;1,0;0,0;1,0;3;2861,407;0;26.027;26.029;26.241;26.245;26.004;26.005;27.039;27.039
11;15:58:56.700389;48,828;1,0;0,0;1,0;3;3396,481;0;26.028;26.031;26.302;26.306;26.005;26.005;27.048;27.049
12;15:58:57.119126;55,593;1,0;0,0;1,0;3;3864,691;0;26.03;26.033;26.36;26.363;26.005;26.005;27.058;27.058
13;15:58:57.615190;63,456;1,0;0,0;1,0;3;4432,529;0;26.031;26.035;26.429;26.432;26.005;26.006;27.069;27.069
14;15:58:58.059676;72,662;1,0;0,0;1,0;3;5095,155;0;26.033;26.036;26.508;26.511;26.005;26.006;27.081;27.082
15;15:58:58.480607;81,148;1,0;0,0;1,0;3;5703,314;0;26.036;26.039;26.583;26.586;26.006;26.006;27.093;27.094
16;15:58:58.954167;88,992;1,0;0,0;1,0;1;5881,178;0;26.042;26.045;26.666;26.668;26.007;26.007;27.107;27.107
17;15:58:59.384046;93,618;1,0;0,0;1,0;4;4664,737;0;26.062;26.064;26.754;26.756;26.01;26.01;27.121;27.121
18;15:58:59.821169;99,53;1,0;0,0;1,0;4;4964,837;0;26.08;26.082;26.841;26.842;26.013;26.013;27.135;27.135
19;15:59:00.311161;105,897;1,0;0,0;1,0;4;5283,566;0;26.11;26.097;26.941;26.936;26.018;26.015;27.151;27.15
20;15:59:00.744602;110,577;1,0;0,0;0,0;1;8321,288;0;26.151;26.124;27.047;27.039;26.024;26.02;27.168;27.166
21;15:59:01.160858;116,41;1,0;0,0;1,0;3;8188,99;0;26.186;26.156;27.144;27.136;26.03;26.025;27.183;27.182
22;15:59:01.639166;122,39;1,0;0,0;1,0;3;8283,261;0;26.225;26.194;27.254;27.247;26.036;26.031;27.201;27.2
23;15:59:02.077632;121,642;0,0;0,0;1,0;3;8061,088;0;26.298;26.244;27.37;27.355;26.048;26.039;27.219;27.217
24;15:59:02.509754;105,691;0,0;0,525;1,0;3;6452,084;0;26.384;26.304;27.455;27.428;26.061;26.049;27.233;27.228
25;15:59:03.000341;93,382;0,0;0,51;1,0;3;5651,896;0;26.473;26.323;27.563;27.493;26.076;26.052;27.25;27.239
26;15:59:03.446942;87,361;1,0;0,0;1,0;3;6339,148;0;26.562;26.346;27.69;27.568;26.09;26.055;27.27;27.251
27;15:59:03.877699;91,106;1,0;0,0;1,0;3;6584,948;0;26.655;26.369;27.819;27.642;26.105;26.059;27.291;27.263
28;15:59:04.353933;94,291;1,0;0,0;1,0;3;6800,138;0;26.751;26.397;27.955;27.719;26.12;26.063;27.313;27.275
29;15:59:04.781397;99,426;1,0;0,0;1,0;3;7117,377;0;26.877;26.429;28.109;27.81;26.14;26.069;27.337;27.29
30;15:59:05.208447;105,59;1,0;0,0;1,0;3;7389,829;0;26.994;26.459;28.26;27.902;26.159;26.073;27.362;27.304
31;15:59:05.720675;113,398;1,0;0,0;1,0;3;8073,548;0;27.121;26.495;28.429;28.009;26.179;26.079;27.389;27.322
32;15:59:06.167372;116,079;1,0;0,0;1,0;3;8286,216;0;27.29;26.529;28.63;28.114;26.206;26.085;27.421;27.338
33;15:59:06.593297;115,604;1,0;0,0;1,0;3;8162,802;0;27.452;26.559;28.813;28.206;26.232;26.089;27.45;27.353
34;15:59:07.081895;115,629;1,0;0,0;1,0;3;8294,122;0;27.627;26.59;29.015;28.306;26.26;26.094;27.482;27.369
35;15:59:07.518099;117,195;1,0;0,0;1,0;3;8097,575;0;27.812;26.624;29.236;28.414;26.29;26.1;27.518;27.386
36;15:59:07.943113;119,34;1,0;0,0;1,0;3;8146,096;0;27.984;26.656;29.441;28.516;26.317;26.105;27.55;27.403
37;15:59:08.422414;122,472;1,0;0,0;1,0;3;8263,178;0;28.138;26.708;29.634;28.641;26.342;26.113;27.581;27.423
38;15:59:08.857183;124,555;1,0;0,0;1,0;4;6252,973;0;28.289;26.792;29.831;28.785;26.366;26.127;27.613;27.446
39;15:59:09.277918;128,575;1,0;0,0;1,0;4;6620,608;0;28.457;26.829;30.039;28.895;26.393;26.133;27.646;27.463
40;15:59:09.738080;131,004;1,0;0,0;1,0;4;6782,239;0;28.648;26.866;30.269;29.006;26.424;26.139;27.683;27.481
41;15:59:10.161254;129,797;1,0;0,0;1,0;5;5170,313;0;28.87;26.908;30.516;29.119;26.459;26.145;27.723;27.499
42;15:59:10.572893;131,489;1,0;0,0;1,0;5;5135,632;0;29.063;26.945;30.747;29.228;26.49;26.151;27.76;27.516
43;15:59:11.045508;135,31;1,0;0,0;1,0;5;5202,546;0;29.246;26.997;30.983;29.362;26.519;26.159;27.797;27.538
44;15:59:11.484132;140,141;1,0;0,0;1,0;5;5395,294;0;29.406;27.089;31.218;29.531;26.545;26.174;27.835;27.565
45;15:59:11.913272;144,544;1,0;0,0;1,0;5;5545,905;0;29.551;27.177;31.432;29.688;26.568;26.188;27.869;27.59
46;15:59:12.391462;146,077;1,0;0,0;1,0;6;4516,738;0;29.718;27.266;31.653;29.84;26.595;26.202;27.905;27.614
47;15:59:12.830941;146,954;1,0;0,0;1,0;6;4580,9;0;29.96;27.308;31.93;29.972;26.634;26.209;27.949;27.636
48;15:59:13.247990;148,869;1,0;0,0;1,0;6;4590,331;0;30.161;27.352;32.171;30.097;26.666;26.216;27.987;27.656
49;15:59:13.727438;151,488;1,0;0,0;1,0;6;4695,039;0;30.338;27.426;32.405;30.247;26.694;26.228;28.025;27.68
50;15:59:14.159337;153,929;1,0;0,0;1,0;6;4750,384;0;30.567;27.479;32.68;30.393;26.731;26.237;28.069;27.703
51;15:59:14.588217;156,847;1,0;0,0;1,0;6;4839,836;0;30.733;27.56;32.907;30.547;26.757;26.25;28.105;27.728
52;15:59:15.075280;159,406;1,0;0,0;1,0;6;4913,693;0;30.861;27.702;33.115;30.74;26.778;26.272;28.138;27.758
53;15:59:15.539924;160,477;1,0;0,0;1,0;7;4016,127;0;31.039;27.841;33.361;30.937;26.806;26.294;28.178;27.79
54;15:59:15.962892;162,16;1,0;0,0;1,0;7;4054,968;0;31.196;27.937;33.577;31.096;26.831;26.31;28.212;27.815
55;15:59:16.473840;162,846;1,0;0,0;1,0;7;4090,482;0;31.425;28.004;33.846;31.245;26.868;26.321;28.255;27.839
56;15:59:16.904550;163,804;1,0;0,0;1,0;7;4082,627;0;31.66;28.061;34.119;31.388;26.906;26.33;28.299;27.862
57;15:59:17.317454;165,496;1,0;0,0;1,0;7;4127,235;0;31.823;28.155;34.335;31.544;26.932;26.345;28.334;27.887
58;15:59:17.788319;166,93;1,0;0,0;1,0;7;4178,839;0;31.964;28.286;34.544;31.72;26.954;26.366;28.367;27.915
59;15:59:18.205545;168,6;1,0;0,0;1,0;7;4208,483;0;32.105;28.429;34.761;31.91;26.977;26.389;28.402;27.946
60;15:59:18.615191;170,321;1,0;0,0;1,0;7;4254,205;0;32.255;28.533;34.97;32.068;27.001;26.405;28.435;27.971
61;15:59:19.081997;172,155;1,0;0,0;1,0;7;4297,807;0;32.415;28.642;35.19;32.236;27.026;26.423;28.47;27.998
62;15:59:19.507693;173,229;1,0;0,0;1,0;7;4343,135;0;32.641;28.709;35.457;32.388;27.063;26.433;28.513;28.022
63;15:59:19.942076;174,636;1,0;0,0;1,0;7;4367,143;0;32.83;28.793;35.693;32.542;27.093;26.447;28.551;28.047
64;15:59:20.428230;176,159;1,0;0,0;1,0;7;4403,592;0;32.951;28.957;35.896;32.747;27.112;26.473;28.583;28.08
65;15:59:20.857235;178,192;1,0;0,0;1,0;7;4453,467;0;33.117;29.092;36.131;32.94;27.139;26.495;28.621;28.11
66;15:59:21.280653;180,07;1,0;0,0;1,0;7;4498,381;0;33.274;29.204;36.344;33.109;27.164;26.513;28.655;28.137
67;15:59:21.754424;182,004;1,0;0,0;1,0;7;4544,516;0;33.435;29.322;36.561;33.285;27.19;26.531;28.69;28.166
68;15:59:22.189540;184,088;1,0;0,0;1,0;7;4600,03;0;33.608;29.447;36.794;33.475;27.217;26.552;28.727;28.196
69;15:59:22.612099;185,102;1,0;0,0;1,0;7;4643,049;0;33.817;29.514;37.032;33.62;27.251;26.562;28.765;28.219
70;15:59:23.092656;186,509;1,0;0,0;1,0;7;4658,576;0;34.02;29.594;37.274;33.777;27.283;26.575;28.804;28.244
71;15:59:23.520037;188,465;1,0;0,0;1,0;7;4710,988;0;34.177;29.741;37.497;33.978;27.308;26.598;28.84;28.276
72;15:59:23.934634;189,76;1,0;0,0;1,0;7;4761,598;0;34.309;29.882;37.689;34.161;27.329;26.621;28.87;28.306
73;15:59:24.415468;190,524;1,0;0,0;1,0;7;4770,048;0;34.405;30.078;37.865;34.384;27.345;26.652;28.898;28.341
74;15:59:24.841845;192,315;1,0;0,0;1,0;7;4806,578;0;34.549;30.237;38.08;34.593;27.368;26.678;28.933;28.375
75;15:59:25.276404;194,027;1,0;0,0;1,0;7;4849,769;0;34.721;30.351;38.302;34.768;27.395;26.696;28.968;28.403
76;15:59:25.752388;194,828;1,0;0,0;1,0;7;4881,684;0;34.954;30.407;38.557;34.911;27.433;26.705;29.009;28.426
77;15:59:26.189826;196,539;1,0;0,0;1,0;7;4902,545;0;35.169;30.507;38.812;35.092;27.467;26.721;29.05;28.455
78;15:59:26.609199;198,134;1,0;0,0;1,0;7;4944,147;0;35.317;30.647;39.006;35.272;27.491;26.744;29.081;28.484
79;15:59:27.085841;199,14;1,0;0,0;1,0;7;4978,067;0;35.417;30.841;39.193;35.498;27.507;26.775;29.111;28.52
80;15:59:27.513737;200,962;1,0;0,0;1,0;7;5020,208;0;35.568;31.002;39.415;35.706;27.531;26.8;29.146;28.553
81;15:59:27.933696;202,237;1,0;0,0;1,0;7;5062,343;0;35.758;31.092;39.646;35.867;27.561;26.815;29.183;28.579
82;15:59:28.417968;203,51;1,0;0,0;1,0;7;5084,408;0;35.981;31.172;39.902;36.024;27.597;26.828;29.224;28.604
83;15:59:28.855823;205,477;1,0;0,0;1,0;7;5131,803;0;36.161;31.307;40.145;36.226;27.626;26.849;29.263;28.636
