counter;time;km/h;gas;brake;clutch;gear;RPM;Lap;FLW Temp;FRW Temp;RLW Temp;RRW Temp;FLW Pres;FRW Pres;RLW Pres;RRW Pres
1;15:01:34.716270;0,002;0,0;0,0;0,0;1;4026,395;0;26.025;26.026;26.039;26.041;26.004;26.004;27.006;27.007
2;15:01:35.250731;0,001;0,0;0,0;0,0;1;7764,827;0;26.026;26.027;26.042;26.044;26.004;26.004;27.007;27.007
3;15:01:35.739565;0,003;0,0;0,0;0,0;1;6657,847;0;26.028;26.028;26.044;26.046;26.004;26.005;27.007;27.007
4;15:01:36.219093;0,003;0,0;0,0;0,0;1;6682,388;0;26.03;26.03;26.046;26.049;26.005;26.005;27.007;27.008
5;15:01:36.752792;1,305;1,0;0,0;0,282;2;7836,207;0;26.032;26.031;26.049;26.051;26.005;26.005;27.008;27.008
6;15:01:37.229986;13,967;1,0;0,0;0,804;2;7250,835;0;26.034;26.033;26.056;26.059;26.005;26.005;27.009;27.009
7;15:01:37.693722;25,913;1,0;0,0;1,0;2;8482,953;0;26.035;26.034;26.098;26.102;26.006;26.006;27.016;27.016
8;15:01:38.185620;37,632;1,0;0,0;1,0;2;4290,277;0;26.037;26.036;26.145;26.149;26.006;26.006;27.023;27.024
9;15:01:38.618372;50,65;1,0;0,0;1,0;2;5849,834;0;26.039;26.038;26.19;26.194;26.006;26.006;27.03;27.031
10;15:01:39.042946;55,874;1,0;0,0;1,0;3;3877,29;0;26.041;26.041;26.234;26.238;26.007;26.007;27.037;27.038
11;15:01:39.530729;63,53;1,0;0,0;1,0;3;4443,725;0;26.043;26.043;26.286;26.29;26.007;26.007;27.046;27.046
12;15:01:39.957189;72,34;1,0;0,0;1,0;3;5077,744;0;26.045;26.045;26.347;26.351;26.007;26.007;27.056;27.056
13;15:01:40.362356;80,568;1,0;0,0;1,0;3;5668,326;0;26.047;26.048;26.409;26.413;26.007;26.008;27.066;27.066
14;15:01:40.827213;89,635;1,0;0,0;1,0;3;6312,229;0;26.052;26.053;26.481;26.484;26.008;26.008;27.077;27.077
15;15:01:41.250172;99,275;1,0;0,0;1,0;3;6989,908;0;26.064;26.063;26.562;26.565;26.01;26.01;27.09;27.09
16;15:01:41.662544;103,368;1,0;0,0;1,0;4;5149,042;0;26.088;26.088;26.636;26.639;26.014;26.014;27.102;27.102
17;15:01:42.130112;109,541;1,0;0,0;1,0;4;5463,512;0;26.11;26.109;26.719;26.722;26.018;26.017;27.115;27.116
18;15:01:42.563199;115,951;0,09;0,0;1,0;4;5587,732;0;26.138;26.135;26.813;26.817;26.022;26.022;27.13;27.131
19;15:01:42.979518;106,291;0,0;0,0;1,0;4;5140,839;0;26.202;26.197;26.881;26.886;26.032;26.032;27.141;27.142
20;15:01:43.451306;98,574;0,0;0,0;1,0;4;4759,896;0;26.253;26.25;26.952;26.959;26.041;26.04;27.152;27.153
21;15:01:43.871739;98,637;0,0;0,0;1,0;4;4760,623;0;26.296;26.291;27.034;27.042;26.047;26.046;27.165;27.167
22;15:01:44.282618;97,332;0,0;0,0;1,0;4;4697,831;0;26.335;26.328;27.106;27.115;26.054;26.053;27.177;27.178
23;15:01:44.761110;93,634;0,0;0,0;1,0;4;4494,042;0;26.413;26.341;27.201;27.169;26.066;26.055;27.192;27.187
24;15:01:45.183901;92,827;1,0;0,0;1,0;4;4703,711;0;26.505;26.353;27.31;27.229;26.081;26.057;27.21;27.197
25;15:01:45.605578;97,385;1,0;0,0;1,0;4;4845,184;0;26.565;26.369;27.405;27.298;26.09;26.059;27.225;27.208
26;15:01:46.076833;102,509;1,0;0,0;1,0;4;5207,489;0;26.629;26.39;27.514;27.378;26.101;26.062;27.242;27.221
27;15:01:46.507044;105,128;1,0;0,0;1,0;4;5471,689;0;26.73;26.41;27.651;27.449;26.117;26.066;27.264;27.232
28;15:01:46.921324;105,947;1,0;0,0;1,0;4;5469,902;0;26.838;26.429;27.783;27.513;26.134;26.069;27.285;27.242
29;15:01:47.397320;104,871;1,0;0,0;1,0;4;5328,878;0;26.963;26.45;27.927;27.583;26.154;26.072;27.308;27.253
