counter;time;km/h;gas;brake;clutch;gear;RPM;Lap;FLW Temp;FRW Temp;RLW Temp;RRW Temp;FLW Pres;FRW Pres;RLW Pres;RRW Pres
1;16:19:58.358398;0,001;0,0;0,0;0,0;1;900,0;0;80.0;80.0;80.0;80.0;34.64;34.64;35.64;35.64
2;16:19:58.847317;0,004;0,0;0,0;0,0;1;900,0;0;80.0;80.0;80.0;80.0;34.64;34.64;35.64;35.64
3;16:19:59.397865;0,002;0,243;0,0;1,0;1;1079,094;0;80.0;80.0;80.0;80.0;34.64;34.64;35.64;35.64
4;16:19:59.901664;0,003;1,0;0,0;1,0;1;7543,13;0;80.0;80.0;80.0;80.0;34.64;34.64;35.64;35.64
5;16:20:00.383420;7,871;0,984;0,0;1,0;2;5706,787;0;80.0;80.0;80.0;80.0;34.64;34.64;35.64;35.64
6;16:20:00.939533;14,763;0,0;0,0;0,996;2;1397,345;0;79.919;79.919;79.958;79.958;34.627;34.627;35.633;35.633
7;16:20:01.416187;14,371;0,122;0,0;0,643;2;1489,187;0;79.82;79.82;79.908;79.908;34.611;34.611;35.625;35.625
8;16:20:01.891781;18,875;0,773;0,0;1,0;2;2105,395;0;79.731;79.731;79.862;79.862;34.597;34.597;35.618;35.618
9;16:20:02.419898;25,063;0,62;0,0;1,0;2;2720,347;0;79.64;79.64;79.815;79.816;34.582;34.582;35.61;35.61
10;16:20:02.862720;35,767;1,0;0,0;1,0;2;3983,389;0;79.548;79.548;79.768;79.768;34.568;34.568;35.603;35.603
11;16:20:03.290220;47,131;0,867;0,0;1,0;2;5274,251;0;79.468;79.468;79.729;79.729;34.555;34.555;35.597;35.597
12;16:20:03.807269;58,447;0,796;0,0;1,0;2;6483,683;0;79.378;79.378;79.69;79.69;34.541;34.541;35.59;35.59
13;16:20:04.254062;71,231;1,0;0,0;1,0;2;8123,007;0;79.288;79.288;79.659;79.659;34.526;34.526;35.585;35.585
14;16:20:04.705537;77,653;1,0;0,0;1,0;3;5409,986;0;79.207;79.207;79.632;79.632;34.513;34.513;35.581;35.581
15;16:20:05.176703;80,463;0,0;0,0;1,0;3;5369,205;0;79.132;79.132;79.605;79.604;34.501;34.501;35.577;35.577
16;16:20:05.608114;78,631;0,0;0,0;1,0;3;5250,833;0;79.056;79.056;79.571;79.571;34.489;34.489;35.571;35.571
17;16:20:06.040072;84,208;0,98;0,0;1,0;3;5881,259;0;78.978;78.978;79.547;79.546;34.477;34.476;35.567;35.567
18;16:20:06.523207;88,436;0,0;0,0;1,0;3;5899,139;0;78.903;78.902;79.524;79.523;34.464;34.464;35.564;35.564
19;16:20:06.970736;91,13;0,949;0,0;1,0;3;6346,039;0;78.825;78.823;79.497;79.497;34.452;34.452;35.56;35.559
20;16:20:07.386769;95,277;0,0;0,0;1,0;3;6344,635;0;78.756;78.753;79.478;79.478;34.441;34.44;35.556;35.556
21;16:20:07.866967;95,232;0,898;0,0;1,0;3;6607,686;0;78.693;78.689;79.454;79.455;34.431;34.43;35.553;35.553
22;16:20:08.309520;96,411;0,0;0,0;1,0;3;6402,005;0;78.631;78.611;79.436;79.428;34.421;34.418;35.55;35.548
23;16:20:08.728063;90,932;0,0;0,0;1,0;3;6009,991;0;78.607;78.533;79.43;79.387;34.417;34.405;35.549;35.542
24;16:20:09.196354;86,984;0,0;0,0;1,0;3;5808,581;0;78.574;78.461;79.416;79.347;34.412;34.394;35.547;35.536
25;16:20:09.619363;82,382;0,0;0,0;1,0;3;5436,299;0;78.492;78.428;79.379;79.334;34.399;34.388;35.541;35.534
26;16:20:10.076903;78,062;0,0;0,0;1,0;3;5155,287;0;78.415;78.381;79.34;79.316;34.386;34.381;35.534;35.531
27;16:20:10.579610;73,765;0,0;0,0;1,0;3;4830,355;0;78.337;78.318;79.3;79.288;34.374;34.371;35.528;35.526
28;16:20:11.036824;62,681;0,0;0,573;1,0;3;3740,913;0;78.251;78.273;79.253;79.269;34.36;34.364;35.52;35.523
29;16:20:11.463255;57,294;0,0;0,0;1,0;3;3807,258;0;78.195;78.196;79.227;79.228;34.351;34.351;35.516;35.516
30;16:20:11.917812;53,444;0,9;0,0;0,82;1;3798,278;0;78.141;78.119;79.202;79.188;34.343;34.339;35.512;35.51
31;16:20:12.320155;47,421;0,0;0,0;1,0;2;4992,483;0;78.069;78.04;79.17;79.145;34.331;34.326;35.507;35.503
32;16:20:12.702778;42,589;0,0;0,0;1,0;2;4481,535;0;78.004;77.969;79.138;79.107;34.321;34.315;35.502;35.497
33;16:20:13.165345;38,272;0,0;0,0;1,0;2;4028,295;0;77.93;77.892;79.102;79.063;34.309;34.303;35.496;35.49
34;16:20:13.603459;36,822;0,0;0,0;1,0;2;3878,943;0;77.846;77.807;79.058;79.01;34.295;34.289;35.489;35.482
35;16:20:14.043455;34,446;0,0;0,0;1,0;2;3629,364;0;77.766;77.727;79.015;78.959;34.282;34.276;35.482;35.473
36;16:20:14.532238;33,075;0,0;0,0;1,0;2;3491,017;0;77.684;77.645;78.971;78.903;34.269;34.263;35.475;35.464
37;16:20:14.975487;31,7;0,173;0,0;1,0;2;3364,722;0;77.597;77.559;78.925;78.839;34.256;34.249;35.468;35.454
38;16:20:15.405293;38,482;1,0;0,0;1,0;2;4317,418;0;77.519;77.481;78.879;78.774;34.243;34.237;35.461;35.444
39;16:20:15.908113;41,773;0,0;0,0;1,0;2;4398,345;0;77.436;77.398;78.829;78.705;34.23;34.224;35.453;35.433
40;16:20:16.352957;49,414;0,0;0,0;1,0;2;5174,224;0;77.348;77.31;78.774;78.63;34.216;34.21;35.444;35.421
41;16:20:16.775099;46,916;0,0;0,0;1,0;2;4946,248;0;77.273;77.234;78.72;78.558;34.204;34.197;35.435;35.409
