counter;time;km/h;gas;brake;clutch;gear;RPM;Lap;FLW Temp;FRW Temp;RLW Temp;RRW Temp;FLW Pres;FRW Pres;RLW Pres;RRW Pres
1;11:15:37.911308;0,007;0,0;0,0;0,0;2;1134,205;0;80.0;80.0;80.0;80.0;40.64;40.64;40.64;40.64
2;11:15:38.278732;1,493;0,459;0,0;0,201;2;1319,898;0;80.0;80.0;80.0;80.0;40.64;40.64;40.64;40.64
3;11:15:38.671032;3,017;0,149;0,0;0,098;2;1258,465;0;80.0;80.0;80.0;80.0;40.64;40.64;40.64;40.64
4;11:15:39.041136;4,185;0,471;0,0;0,191;2;1314,622;0;80.0;80.0;80.0;80.0;40.64;40.64;40.64;40.64
5;11:15:39.393432;5,559;0,439;0,0;0,309;3;1221,663;0;80.0;80.0;80.0;80.0;40.64;40.64;40.64;40.64
6;11:15:39.786608;5,951;0,165;0,0;0,135;3;1237,021;0;80.0;80.0;80.0;80.0;40.64;40.64;40.64;40.64
7;11:15:40.154236;6,253;0,145;0,0;0,021;3;1219,128;0;80.0;80.0;80.0;80.0;40.64;40.64;40.64;40.64
8;11:15:40.501601;6,608;0,996;0,0;0,204;3;2760,578;0;80.0;80.0;80.0;80.0;40.64;40.64;40.64;40.64
9;11:15:40.902230;10,307;0,169;0,0;0,576;3;5486,992;0;79.998;79.998;79.999;79.999;40.64;40.64;40.64;40.64
10;11:15:41.256816;14,84;0,416;0,0;0,144;3;1555,708;0;79.965;79.965;79.967;79.967;40.634;40.634;40.635;40.635
11;11:15:41.604850;17,295;0,569;0,0;0,492;3;2458,764;0;79.935;79.935;79.939;79.939;40.63;40.63;40.63;40.63
12;11:15:41.990389;21,188;0,463;0,0;0,849;3;1556,466;0;79.904;79.904;79.91;79.91;40.625;40.625;40.626;40.626
13;11:15:42.356062;22,884;0,514;0,0;0,021;4;1315,269;0;79.87;79.87;79.878;79.878;40.619;40.619;40.62;40.62
14;11:15:42.698238;23,666;0,345;0,0;0,366;4;1547,701;0;79.84;79.84;79.85;79.85;40.614;40.614;40.616;40.616
15;11:15:43.078645;24,379;0,396;0,0;0,282;4;1487,904;0;79.81;79.81;79.821;79.821;40.61;40.61;40.611;40.611
16;11:15:43.451848;25,146;0,886;0,0;0,288;4;2805,861;0;79.776;79.776;79.789;79.789;40.604;40.604;40.606;40.606
17;11:15:43.776139;27,709;0,816;0,0;0,615;4;5431,029;0;79.747;79.747;79.762;79.762;40.6;40.6;40.602;40.602
18;11:15:44.126259;33,456;0,522;0,0;0,939;4;1623,186;0;79.719;79.719;79.736;79.736;40.595;40.595;40.598;40.598
19;11:15:44.454629;35,025;0,537;0,0;1,0;4;1633,522;0;79.689;79.689;79.707;79.707;40.59;40.59;40.593;40.593
20;11:15:44.770571;36,451;0,545;0,0;1,0;4;1700,948;0;79.661;79.661;79.681;79.681;40.586;40.586;40.589;40.589
21;11:15:45.111635;37,868;0,561;0,0;1,0;4;1766,862;0;79.634;79.634;79.656;79.656;40.581;40.581;40.585;40.585
22;11:15:45.422401;39,467;0,569;0,0;1,0;4;1841,36;0;79.605;79.605;79.628;79.628;40.577;40.577;40.58;40.58
23;11:15:45.776970;41,163;0,549;0,0;1,0;4;1918,835;0;79.575;79.575;79.6;79.6;40.572;40.572;40.576;40.576
24;11:15:46.131641;42,814;0,549;0,0;1,0;4;1998,749;0;79.546;79.546;79.573;79.573;40.567;40.567;40.572;40.572
25;11:15:46.448989;44,533;0,545;0,0;1,0;4;2083,07;0;79.517;79.516;79.544;79.545;40.563;40.563;40.567;40.567
26;11:15:46.767288;45,869;0,616;0,0;1,0;5;1546,12;0;79.491;79.49;79.52;79.519;40.559;40.558;40.563;40.563
27;11:15:47.107053;46,569;0,533;0,0;1,0;5;1623,941;0;79.465;79.463;79.494;79.494;40.554;40.554;40.559;40.559
28;11:15:47.421903;47,354;0,537;0,0;1,0;5;1650,08;0;79.437;79.435;79.467;79.466;40.55;40.55;40.555;40.555
